case_id,stage,label,meaning,normalization,w_y,w_u,w_e,seed,repeats,max_nfes,best_scalar,mean_scalar,std_scalar,fearate,elapsed_wall_time,base_penalty,J_y,J_u,J_e,J_y_bar,J_u_bar,J_e_bar,global_weighted_score,J_y_mean,J_y_std,J_y_bar_mean,J_y_bar_std,J_u_mean,J_u_std,J_u_bar_mean,J_u_bar_std,J_e_mean,J_e_std,J_e_bar_mean,J_e_bar_std
W4,weight_sensitivity,Vibration-priority,Vibration-priority,minmax,0.6,0.2,0.2,20260902,3,220,0.03713151116261122,0.10175089892828038,0.04637404129212924,1.0,672.4081578000041,0.0,0.00019660885844864905,0.09268105004548337,0.005382343138470892,-0.008082395509722052,0.09348001919230023,0.11642472314992203,0.03713151116261122,0.0002502649075458211,5.1915857482175726e-05,0.020667868070312203,0.027817825048820327,0.1264468663257967,0.033958002922852205,0.2817780189631334,0.18936974523293967,0.00757802458417204,0.008447560719188544,0.16497287146733175,0.18678184466077144
W5,weight_sensitivity,Energy-priority,Energy-priority,minmax,0.2,0.6,0.2,20260903,3,220,0.05065513016305249,0.09762934403980293,0.038302464714836955,1.0,672.2698623000178,0.0,0.00035504228073508575,0.08256980657249245,0.0030648868777610853,0.07681022568146442,0.03709379398292655,0.06518404318501839,0.05065513016305249,0.0004460168568274697,8.140996857978177e-05,0.12555669668981484,0.043621513214143696,0.08654783818392035,0.014850921730927738,0.059277631898722594,0.08281745163428184,0.00847280484007876,0.00696174812709577,0.18475712781303208,0.15392942418146072
W6,weight_sensitivity,Tracking-priority,Tracking-priority,minmax,0.2,0.2,0.6,20260904,3,220,0.06067073099190866,0.08577307822557566,0.024371162037143974,1.0,678.0455388000119,0.0,0.0004139471661994042,0.09906036138152334,0.0011106901662199312,0.10837294809108257,0.12905480152599663,0.021975301780821372,0.06067073099190866,0.0005562053663141477,0.00039757542361009394,0.1845984775241786,0.213030933400134,0.11173068338338482,0.02632223847081332,0.19971194985603424,0.14678824324572304,0.0007885098046396914,0.0005723319179202093,0.01485165458255512,0.01265468398996517
W7,weight_sensitivity,Vibration-energy,Vibration-energy,minmax,0.5,0.3,0.2,20260905,3,220,0.01602358778659402,0.057880873926545846,0.029709430170046975,1.0,677.7600111000065,0.0,0.0001721876602920899,0.08342468011971477,0.0032938259409662426,-0.021167889051555106,0.041861070380530205,0.07024605599106257,0.01602358778659402,0.0001857313559842838,1.7091118639893912e-05,-0.013910835512388127,0.009157852172169804,0.10323409837066495,0.017713238632245405,0.15233000743544536,0.09877940980979331,0.0044444155518519575,0.0010166971504224508,0.09568644726053151,0.02247992947667107
W8,weight_sensitivity,Vibration-tracking,Vibration-tracking,minmax,0.5,0.2,0.3,20260906,3,220,0.06646162397328798,0.07681074528553351,0.008221825385597362,1.0,677.6317722999956,0.0,0.00021371525540685797,0.12605926437596163,0.0016238505517113672,0.0010836431705117473,0.27961652311018803,0.03332165921998164,0.06646162397328798,0.00022820377745781705,1.7767797424565634e-05,0.008846958488339845,0.009520433721606969,0.12747606216666033,0.0020487604601782425,0.2875174187335479,0.011425090199464739,0.002360639377605804,0.001607983958982404,0.04961260764884671,0.035553720183560164
W9,weight_sensitivity,Energy-vibration,Energy-vibration,minmax,0.3,0.5,0.2,20260907,3,220,0.08217687724476845,0.1276869443029407,0.05425627990762032,1.0,678.0055953999981,0.0,0.00025869056637649486,0.08702194960375645,0.009990146313250578,0.02518254845198946,0.06192155530583114,0.21830667528128023,0.08217687724476845,0.0004631257126021769,0.0001792339865134002,0.13472405286590622,0.09603808781053455,0.09309493063070191,0.014548152495800855,0.09578806013209745,0.08112903276434391,0.009021016360252904,0.002666180645416289,0.19687849188560047,0.05895123523865445
PARETO_E11,pareto_epsilon,"$\epsilon_u=0.04, \epsilon_e=0.03$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261702,3,220,inf,inf,nan,0.0,567.649108499987,1.0,0.0010163599665062063,0.19478443713273233,0.08472159953686603,0.43116091113027577,0.6628684029573767,1.8706746370267953,0.43116091113027577,0.007274179308414855,0.006916142856311593,3.7842582513813787,3.705843673208679,0.5661052033289494,0.330593348781104,2.733570824829114,1.8435824502580542,0.07849926810708054,0.005894018113230049,1.7330942654639057,0.13032112017288447
PARETO_E12,pareto_epsilon,"$\epsilon_u=0.04, \epsilon_e=0.06$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261703,3,220,0.29809173078247364,inf,nan,0.015151515151515152,561.6827419000037,0.0,0.0007680155833604291,0.08194176900506964,0.002008925885465822,0.29809173078247364,0.033591488078490155,0.04183596098861436,0.29809173078247364,0.0018443823550919408,0.0012762744658710579,0.8748361783661577,0.6838600290492556,0.21943686551569228,0.18431459005278025,0.8003448055850698,1.0278462794265255,0.0787962014517219,0.10055613581338949,1.7396596823572612,2.223370883445763
PARETO_E13,pareto_epsilon,"$\epsilon_u=0.04, \epsilon_e=0.51$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261704,3,220,inf,inf,nan,0.0,566.7538630999916,1.0,0.0006766583368994579,0.23267084820253675,0.0521133140912811,0.24914021534490655,0.8741452565573611,1.149681215468247,0.24914021534490655,0.007307428381071503,0.008836838586764517,3.8020739425989554,4.735000859336244,0.5314685592604468,0.31138689401361924,2.5404165784537374,1.7364759913061072,0.07940979670563518,0.030927839395433,1.7532267293677295,0.6838375106945618
PARETO_E21,pareto_epsilon,"$\epsilon_u=0.09, \epsilon_e=0.03$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261705,3,220,inf,inf,nan,0.0,565.7378522999934,1.0,0.0006531641126591998,0.15397170889242906,0.07052839469558758,0.23655141779306724,0.4352726881361624,1.5568523313900464,0.23655141779306724,0.003386826021984575,0.0029317260648504106,1.7013163744798714,1.5708927236938197,0.3219666194958188,0.19765046842956308,1.3721108612663488,1.102214960541437,0.1564370284560135,0.08698784991847264,3.456356060272429,1.9233660000738517
PARETO_E22,pareto_epsilon,"$\epsilon_u=0.09, \epsilon_e=0.06$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261706,3,220,inf,inf,nan,0.0,564.0416916999966,1.0,0.0010455822962460626,0.16646845143789482,0.07633547202419384,0.4468189719934977,0.5049618555896447,1.6852511262114955,0.4468189719934977,0.004633841095747183,0.004094844880036229,2.3694984837146054,2.194121102863688,0.5588517348152688,0.3407378689142121,2.693121229262159,1.9001542456454774,0.07225197044061561,0.0036509242272923723,1.5949618718562821,0.08072464757091158
PARETO_E23,pareto_epsilon,"$\epsilon_u=0.09, \epsilon_e=0.51$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261707,3,220,inf,inf,nan,0.0,567.3935966000136,1.0,0.000655644078598722,0.22671209512810409,0.06291772142522856,0.23788024605438116,0.8409157538043608,1.3885746900918807,0.23788024605438116,0.0016571986562819328,0.0010377126017391905,0.774538434323779,0.5560325689708167,0.25810387704371396,0.0700545731684854,1.0159747452672114,0.3906653964150184,0.10953371700194547,0.08775476553106622,2.419288991409614,1.940323074143055
PARETO_E31,pareto_epsilon,"$\epsilon_u=0.16, \epsilon_e=0.03$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261708,3,220,inf,inf,nan,0.0,565.5385605999909,0.0,0.0018034339223280808,0.12204513256148167,0.0028266002410029176,0.8528949759302832,0.2572313692845501,0.05991534858178183,0.8528949759302832,0.003764405099724784,0.002983757471535946,1.903632761727799,1.5987724629183753,0.213231289034738,0.12087861604225957,0.7657388707221865,0.6740900746147408,0.02144262761813336,0.03309294967173961,0.4715295469689649,0.7317097077400287
PARETO_E32,pareto_epsilon,"$\epsilon_u=0.16, \epsilon_e=0.06$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261709,3,220,0.022436278778590498,inf,nan,0.015151515151515152,566.0112714999996,0.0,0.0002535652575242901,0.08967370428915289,0.0016188133162444301,0.022436278778590498,0.07670929504231151,0.03321028220077088,0.022436278778590498,0.0023825193733721215,0.0027032898056850675,1.1631835572368907,1.4484908179861036,0.24271075509190632,0.2707589356311984,0.9301336671279631,1.5099106616048132,0.047465841792128115,0.0773299990874162,1.046922149519915,1.7098237417050277
PARETO_E33,pareto_epsilon,"$\epsilon_u=0.16, \epsilon_e=0.51$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261710,3,220,0.0559346700406816,inf,nan,0.015151515151515152,388.8405328000081,0.0,0.0003160826435382133,0.08761149090518253,0.002802126438737486,0.0559346700406816,0.06520918344783305,0.059374214627856324,0.0559346700406816,0.0023282769788545306,0.002622428634051142,1.1341191150009613,1.4051633640087242,0.22357504086060712,0.13737520074549542,0.823421698904624,0.7660847083852415,0.037660009381497744,0.03020854096975166,0.8301079084655041,0.6679332880110631
