case_id,stage,label,meaning,normalization,w_y,w_u,w_e,seed,repeats,max_nfes,best_scalar,mean_scalar,std_scalar,fearate,elapsed_wall_time,base_penalty,J_y,J_u,J_e,J_y_bar,J_u_bar,J_e_bar,global_weighted_score,J_y_mean,J_y_std,J_y_bar_mean,J_y_bar_std,J_u_mean,J_u_std,J_u_bar_mean,J_u_bar_std,J_e_mean,J_e_std,J_e_bar_mean,J_e_bar_std
W1,conflict_single_objective,Vibration-only,Vibration-only,none,1.0,0.0,0.0,20260702,3,220,0.00021169287355985564,0.00023138902183969762,1.7941530139316503e-05,1.0,553.3811463999737,0.0,0.00021169287355985564,0.10506548824379276,0.03278805367932046,0.0,0.16254291172443724,0.7223853476686105,0.0,0.00023138902183969762,2.1973797023045508e-05,0.010553692716572763,0.011774114324418777,0.10221761084573515,0.015899398469329785,0.14666147668981414,0.08866437300020952,0.03042102484929869,0.023770350231291225,0.6700485813601508,0.5255801067340129
W2,conflict_single_objective,Energy-only,Energy-only,none,0.0,1.0,0.0,20260703,3,220,0.07591810430113727,0.08783893865275909,0.01042116615395179,1.0,548.5506628000003,0.0,0.0005069636133460516,0.07591810430113727,0.04534369920453231,0.15821350507844723,0.0,1.0,0.0,0.0004750542467033437,0.00013405031350653573,0.141115662112254,0.07182753689746148,0.08783893865275909,0.012763269800972065,0.0664775655170093,0.07117547978426128,0.03849924629298792,0.016625291996127944,0.8486640601933607,0.3675975598502743
W3,conflict_single_objective,Tracking-only,Tracking-only,none,0.0,0.0,1.0,20260704,3,220,0.00011681575378369446,0.00012947192977857958,1.487409665963831e-05,1.0,548.6774381000141,0.0,0.0020779731234019374,0.25523926714624323,0.00011681575378369446,1.0,1.0,0.0,0.0,0.0018125312367195442,0.000388043503421723,0.8577695462914244,0.2079234902981789,0.34034943123203903,0.11124409595650722,1.4746242034985704,0.620362338674982,0.00012947192977857958,1.8216973600474787e-05,0.0002798374557174052,0.0004027908228589925
UNSCALED_W14,normalization_comparison,Unnormalized proposed setting,Historical unnormalized weighted-sum,none,0.5,0.25,0.25,20260801,3,220,0.018970244254373672,0.020444018640619174,0.00136809081529142,1.0,684.1101202999998,0.0,0.0009469796450302532,0.06852065407746653,0.005466363649967644,0.39398518605799693,-0.041252522046494336,0.11828247909254073,0.21625008229051007,0.0005241126597060008,0.00036669134133445266,0.16740239638316967,0.1964824636415034,0.07628304945755773,0.010574479043141963,0.0020351482816096437,0.05896949849849003,0.004444799785506962,0.0038849288237010784,0.09569494295215757,0.08589866308015026
W14,weight_sensitivity,Proposed current setting,Proposed current setting,minmax,0.5,0.25,0.25,20260912,3,220,0.1331830131952894,0.13754293488889838,0.005558894768073697,1.0,584.1226515999879,0.0,0.0001513388977554897,0.08599991351317532,0.02459307743148127,-0.03233918154011054,0.05622208250314836,0.5411883333582304,0.1331830131952894,0.0002845476476484475,0.00012982601275795765,0.03903742436043923,0.06956405007712163,0.10537606600238253,0.02139887812243417,0.16427487550195324,0.11933269773026228,0.014038646164813068,0.010521263646391247,0.3078220153327618,0.23263295729516145
