Phase 1/4: objective-conflict anchor runs
Running 3 case(s) with 16 worker(s)...
[progress] OPMWADE P21 repeat=2/8 | W2:conflict_single_objective | nfes=3224/6400 (50.4%) | best=0.05123861594 | fearate=1 | iter=24 | np=86 | elapsed=2353.5s
[progress] OPMWADE P21 repeat=2/8 | W3:conflict_single_objective | nfes=3232/6400 (50.5%) | best=5.330639616e-05 | fearate=1 | iter=24 | np=86 | elapsed=2358.0s
[progress] OPMWADE P21 repeat=2/8 | W1:conflict_single_objective | nfes=4009/6400 (62.6%) | best=0.0001032705739 | fearate=1 | iter=36 | np=55 | elapsed=2930.2s
[progress] OPMWADE P21 repeat=2/8 | W2:conflict_single_objective | nfes=4011/6400 (62.7%) | best=0.04920576958 | fearate=1 | iter=34 | np=71 | elapsed=2928.5s
[progress] OPMWADE P21 repeat=2/8 | W3:conflict_single_objective | nfes=4028/6400 (62.9%) | best=5.330639616e-05 | fearate=1 | iter=36 | np=55 | elapsed=2939.5s
[progress] OPMWADE P21 repeat=2/8 | W3:conflict_single_objective | nfes=4805/6400 (75.1%) | best=4.774490892e-05 | fearate=1 | iter=50 | np=62 | elapsed=3506.8s
[progress] OPMWADE P21 repeat=2/8 | W2:conflict_single_objective | nfes=4808/6400 (75.1%) | best=0.04304130773 | fearate=1 | iter=46 | np=62 | elapsed=3510.8s
[progress] OPMWADE P21 repeat=2/8 | W1:conflict_single_objective | nfes=4842/6400 (75.7%) | best=9.191239913e-05 | fearate=1 | iter=50 | np=55 | elapsed=3538.7s
[progress] OPMWADE P21 repeat=2/8 | W3:conflict_single_objective | nfes=5604/6400 (87.6%) | best=4.774490892e-05 | fearate=1 | iter=64 | np=55 | elapsed=4090.2s
[progress] OPMWADE P21 repeat=2/8 | W1:conflict_single_objective | nfes=5655/6400 (88.4%) | best=8.768614895e-05 | fearate=1 | iter=64 | np=56 | elapsed=4132.2s
[progress] OPMWADE P21 repeat=2/8 | W2:conflict_single_objective | nfes=5647/6400 (88.2%) | best=0.04262407403 | fearate=1 | iter=61 | np=56 | elapsed=4123.3s
[progress] OPMWADE P21 repeat=2/8 | W1:conflict_single_objective | nfes=6430/6400 (100.0%) | best=6.519087144e-05 | fearate=1 | iter=78 | np=55 | elapsed=4699.1s
[progress] OPMWADE P21 repeat=2/8 | W2:conflict_single_objective | nfes=6422/6400 (100.0%) | best=0.03520948642 | fearate=1 | iter=75 | np=55 | elapsed=4690.2s
[progress] OPMWADE P21 repeat=2/8 | W3:conflict_single_objective | nfes=6449/6400 (100.0%) | best=4.721550067e-05 | fearate=1 | iter=79 | np=55 | elapsed=4708.3s
[progress] OPMWADE P21 repeat=3/8 | W1:conflict_single_objective | nfes=910/6400 (14.2%) | best=0.0001417991084 | fearate=1 | iter=4 | np=157 | elapsed=664.9s
[progress] OPMWADE P21 repeat=3/8 | W2:conflict_single_objective | nfes=910/6400 (14.2%) | best=0.06575158767 | fearate=1 | iter=4 | np=157 | elapsed=665.2s
[progress] OPMWADE P21 repeat=3/8 | W3:conflict_single_objective | nfes=910/6400 (14.2%) | best=8.742314897e-05 | fearate=1 | iter=4 | np=157 | elapsed=664.1s
[progress] OPMWADE P21 repeat=3/8 | W1:conflict_single_objective | nfes=1636/6400 (25.6%) | best=0.000126387803 | fearate=1 | iter=9 | np=130 | elapsed=1194.0s
[progress] OPMWADE P21 repeat=3/8 | W2:conflict_single_objective | nfes=1636/6400 (25.6%) | best=0.06450578631 | fearate=1 | iter=9 | np=130 | elapsed=1195.6s
[progress] OPMWADE P21 repeat=3/8 | W3:conflict_single_objective | nfes=1724/6400 (26.9%) | best=8.742314897e-05 | fearate=1 | iter=9 | np=162 | elapsed=1257.8s
[progress] OPMWADE P21 repeat=3/8 | W3:conflict_single_objective | nfes=2417/6400 (37.8%) | best=7.559270263e-05 | fearate=1 | iter=15 | np=107 | elapsed=1765.3s
[progress] OPMWADE P21 repeat=3/8 | W1:conflict_single_objective | nfes=2460/6400 (38.4%) | best=0.0001082884339 | fearate=1 | iter=16 | np=104 | elapsed=1796.8s
