case_id,stage,label,meaning,normalization,w_y,w_u,w_e,seed,repeats,max_nfes,best_scalar,mean_scalar,std_scalar,fearate,elapsed_wall_time,base_penalty,epsilon_feasible,epsilon_violation,overall_feasible,is_nondominated,dominated_by,J_y,J_u,J_e,J_y_bar,J_u_bar,J_e_bar,global_weighted_score,J_y_mean,J_y_std,J_y_bar_mean,J_y_bar_std,J_u_mean,J_u_std,J_u_bar_mean,J_u_bar_std,J_e_mean,J_e_std,J_e_bar_mean,J_e_bar_std
W1,conflict_single_objective,Vibration-only,Vibration-only,none,1.0,0.0,0.0,20260702,8,6400,5.7446716081183626e-05,6.191213529117751e-05,4.625771414215433e-06,1.0,38069.01039893087,0.0,True,0.0,True,True,,5.7446716081183626e-05,0.06144522501074259,0.009771694918917159,0.0,0.3112320115564196,1.0,0.0,6.191213529117751e-05,4.945157651864834e-06,0.0050513206532907,0.005594004908819659,0.06248885387838369,0.001670377416629911,0.3212870333215343,0.0160935384224594,0.0054719497007263826,0.002723429260813357,0.5584595746388321,0.27966869040825726
W2,conflict_single_objective,Energy-only,Energy-only,none,0.0,1.0,0.0,20260703,8,6400,0.029141892468867954,0.030875081931354142,0.0019328094806801927,1.0,38103.48478056118,0.0,True,0.0,True,True,,0.00047502364452999804,0.029141892468867954,0.000175956114172187,0.4723666163952565,0.0,0.014614499580851207,0.0,0.0004426171332784052,3.346080312890175e-05,0.4357080918786988,0.0378511485646041,0.030875081931354142,0.002066260248746785,0.0166987118780613,0.019907739635930764,0.0016371302123504117,0.0027064538782543787,0.16466232802120806,0.27792548999627714
W3,conflict_single_objective,Tracking-only,Tracking-only,none,0.0,0.0,1.0,20260704,8,6400,3.363930447664032e-05,4.2502062795619217e-05,4.707327878931544e-06,1.0,38127.43101472594,0.0,True,0.0,True,False,W12;W13;W4;W7;W8,0.0009414569614186814,0.13293369839632072,3.363930447664032e-05,1.0,1.0,0.0,0.0,0.000999207877057411,0.0005604099050689236,1.0653283329501249,0.6339405092018704,0.12599095340523597,0.015127478992981032,0.933108929659269,0.14574829735166828,4.2502062795619217e-05,5.0323451800488925e-06,0.0009101158044154475,0.0005167710454011426
UNSCALED_W14,normalization_comparison,Unnormalized proposed setting,Historical unnormalized weighted-sum,none,0.5,0.25,0.25,20260801,6,6400,0.007457850167026384,0.00782937840066489,0.00030945679963385284,1.0,28735.073527647648,0.0,True,0.0,True,True,,0.00048433313579868066,0.028819811511964846,4.2922884543328266e-05,0.4828975930641168,-0.003103144357351603,0.0009533299494532941,0.24091134293008382,0.00046347199983985335,6.0500671882373305e-05,0.45929929647326345,0.0684388808856795,0.0302907573973704,0.0013593650280533454,0.011068936687598112,0.013097036089761257,9.981220560945486e-05,6.50975871739377e-05,0.00679528889059609,0.0066848650029688456
W14,weight_sensitivity,Proposed current setting,Proposed current setting,minmax,0.5,0.25,0.25,20260912,6,6400,0.035022984903373675,0.04931552714314908,0.012228931442510155,1.0,28719.3824124299,0.0,True,0.0,True,True,,6.940448902797094e-05,0.04078390011700632,4.212644662094159e-05,0.013526735702279184,0.11216692439358619,0.0008715438153501326,0.035022984903373675,7.760715561134596e-05,1.1473258473477507e-05,0.022805662758428172,0.012978648758869577,0.0441818135719066,0.0032545129091804182,0.1449047058064592,0.03135616419908158,9.933297990944916e-05,6.867412536205743e-05,0.006746077249280852,0.007052139367557202
