case_id,stage,label,meaning,normalization,w_y,w_u,w_e,seed,repeats,max_nfes,best_scalar,mean_scalar,std_scalar,fearate,elapsed_wall_time,base_penalty,epsilon_feasible,epsilon_violation,overall_feasible,is_nondominated,dominated_by,J_y,J_u,J_e,J_y_bar,J_u_bar,J_e_bar,global_weighted_score,J_y_mean,J_y_std,J_y_bar_mean,J_y_bar_std,J_u_mean,J_u_std,J_u_bar_mean,J_u_bar_std,J_e_mean,J_e_std,J_e_bar_mean,J_e_bar_std
W1,conflict_single_objective,Vibration-only,Vibration-only,none,1.0,0.0,0.0,20260702,8,6400,5.7446716081183626e-05,6.191213529117751e-05,4.625771414215433e-06,1.0,38069.01039893087,0.0,True,0.0,True,True,,5.7446716081183626e-05,0.06144522501074259,0.009771694918917159,0.0,0.3112320115564196,1.0,0.0,6.191213529117751e-05,4.945157651864834e-06,0.0050513206532907,0.005594004908819659,0.06248885387838369,0.001670377416629911,0.3212870333215343,0.0160935384224594,0.0054719497007263826,0.002723429260813357,0.5584595746388321,0.27966869040825726
W2,conflict_single_objective,Energy-only,Energy-only,none,0.0,1.0,0.0,20260703,8,6400,0.029141892468867954,0.030875081931354142,0.0019328094806801927,1.0,38103.48478056118,0.0,True,0.0,True,True,,0.00047502364452999804,0.029141892468867954,0.000175956114172187,0.4723666163952565,0.0,0.014614499580851207,0.0,0.0004426171332784052,3.346080312890175e-05,0.4357080918786988,0.0378511485646041,0.030875081931354142,0.002066260248746785,0.0166987118780613,0.019907739635930764,0.0016371302123504117,0.0027064538782543787,0.16466232802120806,0.27792548999627714
W3,conflict_single_objective,Tracking-only,Tracking-only,none,0.0,0.0,1.0,20260704,8,6400,3.363930447664032e-05,4.2502062795619217e-05,4.707327878931544e-06,1.0,38127.43101472594,0.0,True,0.0,True,False,W12;W13;W4;W7;W8,0.0009414569614186814,0.13293369839632072,3.363930447664032e-05,1.0,1.0,0.0,0.0,0.000999207877057411,0.0005604099050689236,1.0653283329501249,0.6339405092018704,0.12599095340523597,0.015127478992981032,0.933108929659269,0.14574829735166828,4.2502062795619217e-05,5.0323451800488925e-06,0.0009101158044154475,0.0005167710454011426
UNSCALED_W14,normalization_comparison,Unnormalized proposed setting,Historical unnormalized weighted-sum,none,0.5,0.25,0.25,20260801,6,6400,0.007457850167026384,0.00782937840066489,0.00030945679963385284,1.0,28735.073527647648,0.0,True,0.0,True,True,,0.00048433313579868066,0.028819811511964846,4.2922884543328266e-05,0.4828975930641168,-0.003103144357351603,0.0009533299494532941,0.24091134293008382,0.00046347199983985335,6.0500671882373305e-05,0.45929929647326345,0.0684388808856795,0.0302907573973704,0.0013593650280533454,0.011068936687598112,0.013097036089761257,9.981220560945486e-05,6.50975871739377e-05,0.00679528889059609,0.0066848650029688456
W10,weight_sensitivity,Energy-tracking,Energy-tracking,minmax,0.2,0.5,0.3,20260908,6,6400,0.05079174637525421,0.07647448070502251,0.017766547920328928,1.0,28732.045183779206,0.0,True,0.0,True,True,,0.00011322129657225898,0.037050125423101765,3.612556604593031e-05,0.06309268561676196,0.07619323012609897,0.00025531396284111664,0.05079174637525421,0.00010167320648538752,9.449809059016985e-06,0.050029386692593214,0.010689705361287107,0.04256498554066568,0.004170862922321122,0.12932709814472299,0.040184895956395884,9.223170148811822e-05,6.927597629712516e-05,0.006016847647141336,0.007113943382536873
W11,weight_sensitivity,Tracking-vibration,Tracking-vibration,minmax,0.3,0.2,0.5,20260909,6,6400,0.027673752580352505,0.05821614017360566,0.01700982991312532,1.0,28707.518684948795,0.0,True,0.0,True,True,,7.866348203408004e-05,0.03948368223035402,4.4265972630503844e-05,0.024000588301775018,0.09963975160731527,0.0010912515367138885,0.027673752580352505,9.058292372962942e-05,2.7491815074634757e-05,0.03748396336265881,0.031098977890396416,0.053002072422095016,0.007120026987963259,0.2298850062393614,0.06859912422123125,5.299758361481787e-05,4.128321092075913e-05,0.0019878998338714814,0.004239368982401419
W12,weight_sensitivity,Tracking-energy,Tracking-energy,minmax,0.2,0.3,0.5,20260910,6,6400,0.03453596377141563,0.04972100788275031,0.019212896708167657,1.0,28752.05001065787,0.0,True,0.0,True,True,,8.066512326126987e-05,0.03930549104998872,3.181069123892044e-05,0.026264862090169455,0.09792293804218806,-0.00018778011854935764,0.03453596377141563,9.143900186704722e-05,2.561182659909998e-05,0.0384523663217116,0.028972318741986847,0.042682802526482044,0.0035648468941711737,0.13046222615182904,0.03434613033578865,8.996162340395297e-05,0.00012460491449775774,0.005783733545718567,0.012795666756408917
W13,weight_sensitivity,Balanced,Balanced,minmax,0.3333333333333333,0.3333333333333333,0.3333333333333333,20260911,6,6400,0.04207311613982576,0.05685402787831665,0.01201487756680083,1.0,28722.323060182855,0.0,True,0.0,True,True,,6.331758863942283e-05,0.041603600817085404,2.890364043728333e-05,0.006641181580421408,0.1200644717264848,-0.00048630488742891297,0.04207311613982576,7.662401493605088e-05,1.2039450021962155e-05,0.021693525562642937,0.01361912951287768,0.04422342751814117,0.002695891202704687,0.1453056425264894,0.02597402731954612,6.833517421136707e-05,5.463556418508132e-05,0.0035629155458176275,0.005610520862507962
W14,weight_sensitivity,Proposed current setting,Proposed current setting,minmax,0.5,0.25,0.25,20260912,6,6400,0.035022984903373675,0.04931552714314908,0.012228931442510155,1.0,28719.3824124299,0.0,True,0.0,True,True,,6.940448902797094e-05,0.04078390011700632,4.212644662094159e-05,0.013526735702279184,0.11216692439358619,0.0008715438153501326,0.035022984903373675,7.760715561134596e-05,1.1473258473477507e-05,0.022805662758428172,0.012978648758869577,0.0441818135719066,0.0032545129091804182,0.1449047058064592,0.03135616419908158,9.933297990944916e-05,6.867412536205743e-05,0.006746077249280852,0.007052139367557202
W15,weight_sensitivity,Mild vibration-priority,Mild vibration-priority,minmax,0.4,0.3,0.3,20260913,6,6400,0.04922248233228753,0.07334579537256812,0.012125806674876899,1.0,28727.180197911803,0.0,True,0.0,True,False,W13;W14;W4;W6;W8,7.224655410206958e-05,0.04376389264542733,4.2155176480873635e-05,0.016741704181534305,0.14087817478365966,0.0008744940819197179,0.04922248233228753,8.239219109991475e-05,1.0023412052975472e-05,0.0282185360976302,0.011338570006220607,0.049815765971466995,0.004346327726027237,0.19918598889250883,0.04187544177683145,0.0001083816165997718,0.00011072407625122881,0.007675280885877922,0.011370244804007544
W4,weight_sensitivity,Vibration-priority,Vibration-priority,minmax,0.6,0.2,0.2,20260902,6,6400,0.030534615450783016,0.055578706098721654,0.01374590530938199,1.0,28752.390731344,0.0,True,0.0,True,True,,6.815133242801024e-05,0.04123035127765179,3.244424919324196e-05,0.012109154167935919,0.11646833486290131,-0.00012272011279399747,0.030534615450783016,7.123394738115883e-05,5.225530262450997e-06,0.015596234741274417,0.005911164819652054,0.05238392943467692,0.007372057713527219,0.2239294013445958,0.07102735758042457,0.00010351399145537537,8.603538895855486e-05,0.0071754249251891914,0.008834965866386445
W5,weight_sensitivity,Energy-priority,Energy-priority,minmax,0.2,0.6,0.2,20260903,6,6400,0.05363521550069195,0.06244164983936255,0.009870874311249845,1.0,28775.160649592057,0.0,True,0.0,True,True,,0.00015979461376890898,0.034390505059108636,4.039043752411542e-05,0.11577682298088178,0.05056866043846755,0.0006932732071753498,0.05363521550069195,0.00013033610371131224,2.8837074336281314e-05,0.08245310279441487,0.03262074674855367,0.037018830483483395,0.0024569984169211592,0.07589171364954543,0.023672373700083075,5.3894513263710114e-05,1.7684961087830853e-05,0.002080005453761574,0.0018160669632658398
W6,weight_sensitivity,Tracking-priority,Tracking-priority,minmax,0.2,0.2,0.6,20260904,6,6400,0.0275573607618199,0.04000372883598093,0.008659432874938484,1.0,28744.520664562937,0.0,True,0.0,True,False,W13,6.501984221512323e-05,0.042363245278811794,3.9601011666771935e-05,0.00856678548001254,0.12738339690500378,0.0006122071413610565,0.0275573607618199,7.729377235046334e-05,9.52010685755723e-06,0.02245116091579062,0.010769226836191971,0.047408917063267914,0.004702496358605666,0.17599678925683246,0.045307009706455674,3.873780634203241e-05,1.2251205389987353e-05,0.0005235646690938535,0.001258075110170874
W7,weight_sensitivity,Vibration-energy,Vibration-energy,minmax,0.5,0.3,0.2,20260905,6,6400,0.03991585286380595,0.05277131320140519,0.01661159577914481,1.0,28773.157833203208,0.0,True,0.0,True,True,,7.893167405760083e-05,0.03875014092321574,3.3258138576686136e-05,0.02430396942765597,0.0925723217598088,-3.914188982336003e-05,0.03991585286380595,7.090701519386985e-05,4.436174899572332e-06,0.015226406236442827,0.0050182392375765815,0.04472881849216668,0.006623992813783152,0.1501749187618288,0.06381999768279509,3.878267544683064e-05,7.880873799359975e-06,0.0005281722731756878,0.0008092861769728922
W8,weight_sensitivity,Vibration-tracking,Vibration-tracking,minmax,0.5,0.2,0.3,20260906,6,6400,0.02860731731991144,0.04632717867710348,0.013315313407106691,1.0,28787.26022872096,0.0,True,0.0,True,True,,7.026271023369111e-05,0.04028694743375895,2.983322427074775e-05,0.014497562918645351,0.10737894832161453,-0.000390846012447141,0.02860731731991144,7.109522227339665e-05,1.8789281624561901e-06,0.015439307705084676,0.002125459713126799,0.048496992639133894,0.007371634285144842,0.18648004047443356,0.071023277986871,7.621138065276936e-05,4.0719967149517625e-05,0.004371722432248087,0.004181529533383869
W9,weight_sensitivity,Energy-vibration,Energy-vibration,minmax,0.3,0.5,0.2,20260907,6,6400,0.05077572079812933,0.061768474278731694,0.011309251318121744,1.0,28725.336704963353,0.0,True,0.0,True,True,,9.386299559226331e-05,0.03710188131302191,3.7118592815577056e-05,0.041194408891920324,0.07669188114635697,0.00035728778687372825,0.05077572079812933,9.155288958215339e-05,1.5944772337574848e-05,0.0385811970855029,0.018036863737351194,0.03929527395950395,0.0022606092332484564,0.09782449972720286,0.02178022834315603,9.605368187249642e-05,7.401251791115669e-05,0.006409326447396964,0.007600338388025211
PARETO_E11,pareto_epsilon,"$\epsilon_u=0.08, \epsilon_e=-0.00$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261702,6,6400,inf,inf,nan,0.0,30502.890706724953,1.0,False,4.703906488473488,False,False,,0.0002456689614959115,0.10816644642401621,0.0458397541837674,0.21291862442484283,0.7613756524323698,4.70382555747218,0.21291862442484283,0.0004082086953465833,0.00013143508264801872,0.3967849706668112,0.14868049702052868,0.14772040561216562,0.052245318704985305,1.1424650730731125,0.5033665060371255,0.057494303584327666,0.016266646970084644,5.9006301211345376,1.6704204221182415
PARETO_E12,pareto_epsilon,"$\epsilon_u=0.08, \epsilon_e=0.00$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261703,6,6400,inf,inf,nan,0.0,30486.876327218022,1.0,False,4.693950123263552,False,False,,0.0002680030144543889,0.08951275505982581,0.04574637082582722,0.2381830974060929,0.5816534556991445,4.694236029373603,0.2381830974060929,0.0003562864840914246,8.732262285520894e-05,0.3380501182948957,0.09878010273723792,0.15401040311750813,0.06827540929974642,1.203067135530134,0.6578111700596943,0.052425557878225,0.009258427205103519,5.380121109193155,0.9507470045020322
PARETO_E13,pareto_epsilon,"$\epsilon_u=0.08, \epsilon_e=0.00$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261704,6,6400,inf,inf,nan,0.0,30486.133474429604,1.0,False,4.619283340756538,False,False,,0.0002183182079453697,0.15373481092493876,0.04502340210957956,0.18197921654490384,1.2004118951659573,4.619994441024531,0.18197921654490384,0.00027699680015478857,4.689305745525292e-05,0.24835694521819152,0.053045830297306175,0.11653973923394696,0.03035316012365518,0.8420495816998056,0.2924427400836545,0.046132329134032014,0.004472450679987647,4.73387005114202,0.4592755327208721
PARETO_E14,pareto_epsilon,"$\epsilon_u=0.08, \epsilon_e=0.00$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261705,6,6400,inf,inf,nan,0.0,30480.6328759701,1.0,False,7.882622084029571,False,False,,0.0002531139370923568,0.1944470918504229,0.07680546713491253,0.2213404449135895,1.592661365744981,7.883691659820806,0.2213404449135895,0.00040729093996973506,0.00013821839432532696,0.39574679788353334,0.15635383758766036,0.17073115619672144,0.06971621655645589,1.364166106010526,0.6716928753044855,0.05681936848213523,0.022191967352807013,5.831321100020346,2.278891005705353
PARETO_E21,pareto_epsilon,"$\epsilon_u=0.10, \epsilon_e=-0.00$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261706,6,6400,inf,inf,nan,0.0,30485.333683356643,1.0,False,4.142634037005614,False,False,,0.00018933791972762976,0.15888055139489257,0.040374051836519875,0.14919646502071102,1.2499894164738583,4.142553106004305,0.14919646502071102,0.0003698206993306965,0.0001680128090422876,0.35336013909007885,0.19005753601661438,0.15936257324688322,0.07583818253405361,1.2546335388849046,0.7306760091163857,0.04461004588015777,0.004414024735117665,4.577546929345831,0.4532757780282265
